LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO
00,1610612766,CHA,Charlotte,44,17,2,19,2,3,1,18,14,17
00,1610612759,SAS,San Antonio,44,12,10,23,10,4,0,19,3,21
00,1610612753,ORL,Orlando,24,12,8,6,10,4,0,15,5,14
00,1610612748,MIA,Miami,44,7,13,20,2,0,1,20,13,18
00,1610612761,TOR,Toronto,22,10,2,1,2,0,4,21,10,26
00,1610612737,ATL,Atlanta,46,6,23,5,6,4,0,16,6,12
00,1610612742,DAL,Dallas,16,8,2,17,5,4,0,18,5,20
00,1610612739,CLE,Cleveland,38,16,10,0,0,0,2,19,14,16
00,1610612738,BOS,Boston,30,7,12,25,0,0,1,18,7,10
00,1610612747,LAL,Los Angeles,28,16,13,4,15,12,0,17,8,20
00,1610612765,DET,Detroit,76,25,25,10,15,12,1,14,15,14
00,1610612751,BKN,Brooklyn,46,8,18,0,0,0,1,12,8,14
00,1610612745,HOU,Houston,40,11,14,32,0,0,0,16,5,18
00,1610612744,GSW,Golden State,38,13,5,9,19,13,0,15,11,17
00,1610612760,OKC,Oklahoma City,36,18,15,7,20,13,0,12,10,12
00,1610612754,IND,Indiana,42,17,7,25,4,0,0,16,6,11
00,1610612764,WAS,Washington,30,9,0,4,4,0,1,18,5,26
00,1610612755,PHI,Philadelphia,52,20,6,5,9,3,1,19,10,19
00,1610612740,NOP,New Orleans,60,16,25,18,9,3,1,13,8,13
00,1610612743,DEN,Denver,38,6,2,13,0,1,0,14,10,8
00,1610612752,NYK,New York,36,9,4,0,0,1,0,10,5,11
00,1610612756,PHX,Phoenix,52,11,18,20,13,3,0,8,7,11
00,1610612762,UTA,Utah,60,20,19,9,13,3,1,12,8,14
00,1610612758,SAC,Sacramento,54,17,18,8,17,11,1,16,6,18
00,1610612746,LAC,Los Angeles,34,10,7,8,18,12,0,12,14,15
00,1610612764,WAS,Washington,36,7,11,18,2,0,0,16,11,17
00,1610612737,ATL,Atlanta,36,14,12,1,2,0,1,17,10,18
00,1610612739,CLE,Cleveland,38,12,12,15,8,9,1,11,7,15
00,1610612741,CHI,Chicago,36,8,8,4,8,9,1,10,9,12
00,1610612751,BKN,Brooklyn,34,10,2,16,2,4,3,15,10,20
00,1610612763,MEM,Memphis,42,4,14,5,2,4,1,14,7,19
00,1610612742,DAL,Dallas,56,18,19,5,7,5,0,11,7,14
00,1610612750,MIN,Minnesota,42,19,14,11,7,5,0,14,9,12
00,1610612745,HOU,Houston,42,14,25,23,13,8,1,17,14,13
00,1610612759,SAS,San Antonio,58,6,17,5,12,7,0,15,11,11
00,1610612756,PHX,Phoenix,38,13,13,6,6,10,0,13,7,20
00,1610612762,UTA,Utah,46,25,17,9,6,10,2,14,8,13
00,1610612749,MIL,Milwaukee,30,9,16,17,4,3,0,13,9,10
00,1610612738,BOS,Boston,46,13,4,11,4,3,0,10,4,9
00,1610612761,TOR,Toronto,38,19,7,15,6,13,1,14,9,15
00,1610612743,DEN,Denver,50,15,18,16,6,13,0,15,8,13
00,1610612746,LAC,Los Angeles,46,13,12,1,2,4,1,12,8,17
00,1610612754,IND,Indiana,40,17,2,14,2,4,0,16,11,17
00,1610612765,DET,Detroit,52,17,20,25,0,0,0,23,12,26
00,1610612755,PHI,Philadelphia,54,9,22,0,0,0,0,20,6,25
00,1610612758,SAC,Sacramento,40,16,9,7,13,9,0,24,8,33
00,1610612744,GSW,Golden State,34,13,20,16,13,9,0,18,7,23
00,1610612766,CHA,Charlotte,38,10,5,14,4,2,1,15,11,14
00,1610612748,MIA,Miami,38,6,9,10,4,2,0,14,0,20
00,1610612750,MIN,Minnesota,40,17,19,11,1,1,1,13,6,8
00,1610612760,OKC,Oklahoma City,58,15,29,14,1,1,0,15,4,20
00,1610612740,NOP,New Orleans,48,13,19,7,17,12,0,12,11,8
00,1610612752,NYK,New York,30,10,6,7,17,12,0,17,5,24
