GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
0021200056,1610612748,Heat,MIA,Miami,240:00,0.688,0.312,0.583,0.252,0.291,0.165,0.126,0.301,0.33,0.533,0.467,0.9,0.1,0.625,0.375
0021200056,1610612751,Nets,BKN,Brooklyn,240:00,0.738,0.263,0.74,0.11,0.123,0.082,0.137,0.164,0.63,0.333,0.667,1.0,0.0,0.4,0.6
0021200057,1610612749,Bucks,MIL,Milwaukee,240:00,0.835,0.165,0.644,0.222,0.2,0.222,0.156,0.211,0.422,0.552,0.448,1.0,0.0,0.629,0.371
0021200057,1610612763,Grizzlies,MEM,Memphis,240:00,0.807,0.193,0.704,0.278,0.167,0.185,0.13,0.167,0.426,0.579,0.421,1.0,0.0,0.636,0.364
0021200058,1610612755,76ers,PHI,Philadelphia,240:00,0.738,0.262,0.805,0.416,0.156,0.104,0.039,0.338,0.39,0.484,0.516,1.0,0.0,0.543,0.457
0021200058,1610612740,Hornets,NOH,New Orleans,240:00,0.725,0.275,0.613,0.29,0.194,0.145,0.194,0.161,0.323,0.737,0.263,1.0,0.0,0.783,0.217
0021200059,1610612745,Rockets,HOU,Houston,240:00,0.607,0.393,0.529,0.092,0.276,0.161,0.195,0.264,0.437,0.478,0.522,0.875,0.125,0.581,0.419
0021200059,1610612743,Nuggets,DEN,Denver,240:00,0.78,0.22,0.645,0.172,0.226,0.172,0.129,0.226,0.473,0.467,0.533,0.857,0.143,0.541,0.459
0021200060,1610612753,Magic,ORL,Orlando,240:00,0.85,0.15,0.667,0.32,0.12,0.16,0.213,0.187,0.347,0.56,0.44,1.0,0.0,0.607,0.393
0021200060,1610612750,Timberwolves,MIN,Minnesota,240:00,0.737,0.263,0.6,0.178,0.233,0.122,0.167,0.211,0.422,0.63,0.37,0.714,0.286,0.647,0.353
0021200061,1610612761,Raptors,TOR,Toronto,240:00,0.728,0.272,0.596,0.135,0.144,0.029,0.26,0.077,0.462,0.548,0.452,0.8,0.2,0.583,0.417
0021200061,1610612742,Mavericks,DAL,Dallas,240:00,0.75,0.25,0.569,0.183,0.22,0.174,0.211,0.018,0.385,0.484,0.516,0.75,0.25,0.538,0.462
0021200062,1610612762,Jazz,UTA,Utah,240:00,0.795,0.205,0.674,0.211,0.158,0.158,0.168,0.2,0.463,0.531,0.469,0.8,0.2,0.568,0.432
0021200062,1610612747,Lakers,LAL,Los Angeles,240:00,0.689,0.311,0.488,0.07,0.14,0.081,0.372,0.128,0.419,0.333,0.667,1.0,0.0,0.44,0.56
0021200063,1610612758,Kings,SAC,Sacramento,240:00,0.805,0.195,0.629,0.095,0.2,0.143,0.171,0.181,0.533,0.273,0.727,0.857,0.143,0.375,0.625
0021200063,1610612765,Pistons,DET,Detroit,240:00,0.699,0.301,0.544,0.058,0.233,0.165,0.223,0.126,0.485,0.571,0.429,0.875,0.125,0.639,0.361
0021200064,1610612759,Spurs,SAS,San Antonio,240:00,0.685,0.315,0.524,0.143,0.286,0.214,0.19,0.202,0.381,0.773,0.227,1.0,0.0,0.833,0.167
0021200064,1610612746,Clippers,LAC,Los Angeles,240:00,0.795,0.205,0.755,0.245,0.17,0.226,0.075,0.217,0.509,0.625,0.375,0.833,0.167,0.652,0.348
0021200065,1610612744,Warriors,GSW,Golden State,240:00,0.769,0.231,0.698,0.245,0.142,0.16,0.16,0.283,0.453,0.622,0.378,1.0,0.0,0.667,0.333
0021200065,1610612739,Cavaliers,CLE,Cleveland,240:00,0.628,0.372,0.521,0.208,0.344,0.104,0.135,0.167,0.313,0.44,0.56,0.818,0.182,0.556,0.444
0021200066,1610612760,Thunder,OKC,Oklahoma City,240:00,0.822,0.178,0.639,0.165,0.155,0.124,0.206,0.206,0.474,0.581,0.419,1.0,0.0,0.639,0.361
0021200066,1610612741,Bulls,CHI,Chicago,240:00,0.821,0.179,0.659,0.286,0.165,0.066,0.176,0.209,0.374,0.6,0.4,0.8,0.2,0.629,0.371
0021200067,1610612757,Trail Blazers,POR,Portland,240:00,0.733,0.267,0.556,0.222,0.233,0.078,0.211,0.178,0.333,0.52,0.48,0.857,0.143,0.594,0.406
0021200067,1610612746,Clippers,LAC,Los Angeles,240:00,0.831,0.169,0.738,0.194,0.087,0.107,0.175,0.146,0.544,0.447,0.553,1.0,0.0,0.488,0.512
0021200068,1610612764,Wizards,WAS,Washington,240:00,0.769,0.231,0.659,0.352,0.132,0.264,0.209,0.308,0.308,0.7,0.3,0.5,0.5,0.676,0.324
0021200068,1610612749,Bucks,MIL,Milwaukee,240:00,0.808,0.192,0.673,0.238,0.178,0.238,0.149,0.238,0.436,0.441,0.559,1.0,0.0,0.525,0.475
